User,Skill1,Skill2,Skill3
maboelnour,c,java,ruby on rails
maged-mo,swift,ios,xcode
maged-rifaat,arm architecture,bluetooth low energy,internet of things (iot)
mahamed-yehia-a9497213b,json,entity framework (ef) core,asp.net web api
mahmoud-abd-el-mawgoed-23b55218b,verilog,c++,systemverilog
mahmoud-abdelmalek,bootstrap,customer relationship management (crm),financial reporting
mahmoud-adel-mansour,php,sql,rhl adminstrator
mahmoud-afifi-b7129b95,jquery,rest apis,restful webservices
mahmoud-ahmed-01750618a,vhdl,verilog,field-programmable gate arrays (fpga)
mahmoud-ahmed-682939142,android,web development,testing
mahmoud-amin-7a4a09100,java,android,ios development
mahmoud-biltagy,adaptive autosar,yocto project,embedded systems
mahmoud-diab-ios,ios development,swift,software development
mahmoud-elqady-8297a6262,front-end,html,single page applications
mahmoud-elsehly-a07089126,microsoft dynamics ax,sql,asp.net mvc
mahmoud-eltantawy,embedded systems,c (programming language),mobile communications
mahmoud-elzeiny-44ba4917a,python,deep learning,kaldi
mahmoud-emam-65737a31,c#,c++,oop
mahmoud-esmail,web development,web scraping,data analysis
mahmoud-hawas,sdks,real-time data,android jetpack
mahmoud-magdy-ayoub,c (programming language),embedded c,c++
mahmoud-moawad-5a32a5100,algorithms,research,problem solving
mahmoud-mohasseb-9b8b514,requirements analysis,business analysis,project management
mahmoud-salah-2b0235101,java,oop,html
mahmoud-shawky,software development,android development,java
mahmoud-yehia-512991b9,html,css,javascript
mahmoud-youssef97,api development,asp.net core,full-stack
mahmoudabdulfatah,amazon web services (aws),linux,"devops best practices: ci/cd pipelines ""jenkins - circleci"""
mahmoudihefny,c#,rest apis,problem solving
mahmoudkkandil,linux,c (programming language),github
mahmoudmohsen213,software systems engineering,software design,web development
mahmoudsabra1,printed circuit board (pcb) design,arduino,c
mahmoudzidan,html,java,c++
mai-elshiashi,data structures,python,django
mai-mohamed-75a4b617b,engineering,responsive web design,web design
mai-mohamed-sadek-0783b436,java,sql,object-oriented programming (oop)
majidzeno,microcontrollers,matlab,graffiti block notes
manar-anwar,communication,presentation skills,internet of things (iot)
manar-ramadan,react,typescript,react
manssorr,redux,firebase,creative writing
maram-hesham-49a4a5183,python,html,css
